ref	annotation_name	count	volumes	type	lcsh_label	lcsh_uri	match_quality	broader_terms	all_suggestions
recVSPQM8CicmOme2	Human rights	1807	8	topic	Human rights	http://id.loc.gov/authorities/subjects/sh85026379	exact		Human rights; Human rights workers; Human rights advocacy; Human rights--Afghanistan; Human rights--Africa
reccap2GMokKh4v4P	Intercontinental ballistic missiles	1670	5	topic	Intercontinental ballistic missiles	http://id.loc.gov/authorities/subjects/sh85067216	exact	sh95009928 → Strategic forces → sh85037301 → Psychology, Military → Psychology, Applied → sh85108459 → Soul → Future life → Eschatology → Religious thought	Intercontinental ballistic missiles; Intercontinental ballistic missiles--Combat survivability; Intercontinental ballistic missiles--Mobile basing; Intercontinental ballistic missiles--Trajectories; Intercontinental ballistic missiles--Trajectories--Computer programs
recr08QgEMEm1Bk04	Ballistic missiles	1232	5	topic	Ballistic missiles	http://id.loc.gov/authorities/subjects/sh85011308	exact	Guided missiles → Precision guided munitions → sh85145837 → Engineering systems → sh85043176 → sh85065826 → Handicraft → Occupations	Ballistic missiles; Ballistic missiles--Atmospheric entry; Ballistic missiles--Guidance systems
recPup8iFysWzHs3K	Arms control	912	6	topic	Arms control	http://id.loc.gov/authorities/subjects/sh85007351	exact	Security, International → International relations	Arms control; Arms control--Congresses; Arms control--Europe; Arms control--Europe--Congresses; Arms control impact statements
recfkRWjb8Vcm4Gga	Warheads	822	1	topic	Warheads	http://id.loc.gov/authorities/subjects/sh2005004553	exact	Ordnance → sh91001438 → Military supplies → Logistics → Military art and science	Warheads
recqBa61v9UU0I2bD	Nuclear weapons	756	6	topic	Nuclear weapons	http://id.loc.gov/authorities/subjects/sh85093127	exact	sh96004190 → Military weapons → Military supplies → Logistics → Military art and science	Nuclear weapons; Nuclear weapons--Accidents; Nuclear weapons--Accidents--Australia; Nuclear weapons--Accidents--California; Nuclear weapons--Accidents--United States
rec5leqjXNtlx0kjy	Outer space	463	4	topic	Outer space	http://id.loc.gov/authorities/subjects/sh85096156	exact		Outer space; Astronautics and civilization; Outer space--Anecdotes; Outer space--Humor; Outer space--Caricatures and cartoons
recVY6Dxn96NsplUd	Law of the sea	453	5	topic	Law of the sea	http://id.loc.gov/authorities/subjects/sh97008889	exact		Law of the sea; Law of the sea--Congresses; Law of the sea--United States
recAgu4u4GprMJCKN	Developing countries	371	8	topic	Developing countries	http://id.loc.gov/authorities/subjects/sh85037341	exact		Developing countries; Developing countries; Art, Developing country; Developing countries--Civilization; Developing countries--Civilization--European influences
recqaxqBsfTYVWHfR	Cruise missiles	356	3	topic	Cruise missiles	http://id.loc.gov/authorities/subjects/sh85034367	exact	sh85057725 → Precision guided munitions → sh85145837 → Engineering systems → sh85043176 → sh85065826 → Handicraft → Occupations	Cruise missiles; Cruise missiles--Aerodynamics
recz6YHYRY8K7jQX1	Propaganda	299	6	topic	Propaganda	http://id.loc.gov/authorities/subjects/sh85107443	exact	Social influence → Influence (Psychology) → sh85108459 → Soul → Future life → Eschatology → Religious thought	Propaganda; Propaganda; Propaganda, American; Propaganda, American--History--20th century; Propaganda analysis
recGyiFfoYaZJxm1O	Economic sanctions	284	7	topic	Economic sanctions	http://id.loc.gov/authorities/subjects/sh85040838	exact	Sanctions (International law) → sh85067417 → sh85075119	Economic sanctions; Economic sanctions, American; Economic sanctions, American--Cuba; Economic sanctions, American--Iran; Economic sanctions, American--South Africa
rectadvRz4QZmc1z7	Chemical weapons	240	4	topic	Chemical weapons	http://id.loc.gov/authorities/subjects/sh88007509	exact	Weapons of mass destruction → Military weapons → Military supplies → Logistics → Military art and science	Chemical weapons; Chemical arms control; Chemical weapons disposal; Chemical weapons disposal--Law and legislation; Chemical weapons disposal--United States
recqSlWTgXqtdfG3Z	Arms race	233	5	topic	Arms race	http://id.loc.gov/authorities/subjects/sh85007355	exact	sh85119471 → International relations	Arms race; Arms race--History--20th century; Arms race--Religious aspects; Arms race--Religious aspects--Anglican Communion; Arms race--Religious aspects--Catholic Church
